EquipmentID;Location;LastDate;initial_date;dvr_OB;dvr_OBV;dvr_OBH;dvr_IB;dvr_IBV;dvr_IBH;dvr_A;dvn_IB;dvn_IBV;dvn_IBH;dvn_OB;dvn_OBV;dvn_OBH;dvn_A;vib_alert;vib_danger;acc_alert;acc_danger;vib_max;acc_max;driver;driven;indikasi;remark;saran
011K101C;FOC II A;05/20/2020;09/23/2020;0.15;0.31;0.54;0.17;0.39;0.53;0.30;;;;;;;;7.1;11.2;5;10;0.54;0.17;MTR;COMP;NORMAL, Masih dimonitoring;;
011K101C-P1;FOC II A;11/06/2019;09/23/2020;0.13;1.26;1.08;0.12;0.95;1.24;1.58;0.17;5.44;5.20;0.16;3.07;3.12;2.77;2.82;4.5;5;10;5.44;0.17;MTR;PUMP;DANGER, Indikasi misalignment;MISALIGNMENT;Periksa kondisi coupling, realignment motor terhadap pompa
011P102A;FOC II A;09/24/2020;09/23/2020;0.18;0.87;0.7;0.14;0.57;0.4;0.72;0.29;1.4;1.84;0.9;5.27;1.35;0.82;11.2;18;5;10;5.27;0.9;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pompa pada kesempatan pertama, ganti bearing pompa, periksa internal part pompa
011P102B;FOC II A;09/24/2020;09/23/2020;0.29;1;1.31;0.45;1.02;1.1;1.62;0.37;2.08;2.2;0.56;2.94;2.2;0.99;11.2;18;5;10;2.94;0.56;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P102C;FOC II A;02/06/2020;09/23/2020;0.30;1.39;3.13;0.31;1.10;2.34;1.87;0.27;1.81;1.51;0.74;2.98;1.17;0.65;11.2;18;5;10;3.13;0.74;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P103A;FOC II A;09/24/2020;09/23/2020;0.17;0.99;2.83;0.4;1.63;2.63;1.34;0.88;2.13;2.51;1.79;1.94;1.9;1.54;11.2;18;5;10;2.83;1.79;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pompa pada kesempatan pertama, periksa clearance bearing pompa, periksa axial end play dan radial lifting shaft pompa, periksa internal part pompa
011P103B -T;FOC II A;08/05/2020;09/23/2020;1.99;3.58;4.20;2.32;2.83;3.71;3.20;1.30;3.64;4.55;1.32;2.94;4.15;1.48;11.2;18;10;15;4.55;2.32;TRB;PUMP;NORMAL, Masih dimonitoring;;Periksa clearance bearing turbine, periksa axial end play shaft turbine, periksa internal part turbine
011P103C;FOC II A;06/13/2019;09/23/2020;0.35;2.30;2.38;0.28;2.40;2.37;1.62;1.14;3.57;4.41;1.53;4.07;4.36;3.45;11.2;18;5;10;4.41;1.53;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P104A;FOC II A;09/24/2020;09/23/2020;0.27;0.67;0.53;0.79;1.23;0.97;0.83;0.56;1.57;1.29;0.51;1.19;1.32;1;11.2;18;5;10;1.57;0.79;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P104B;FOC II A;08/27/2020;09/23/2020;0.61;1.07;1.05;0.80;1.25;2.38;1.03;0.66;2.46;2.18;0.56;1.57;2.37;1.11;11.2;18;5;10;2.46;0.8;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P105A;FOC II A;09/03/2020;09/23/2020;0.15;0.50;0.44;0.34;0.52;0.45;0.33;0.40;0.94;0.92;1.05;1.18;0.82;0.61;7.1;11.2;5;10;1.18;1.05;MTR;PUMP;NORMAL, Masih dimonitoring;;Ganti bearing motor, periksa internal part motor, realignment motor terhadap pompa
011P105B;FOC II A;09/24/2020;09/23/2020;0.45;0.56;0.31;0.43;0.52;0.37;0.41;0.43;0.66;0.62;0.7;0.82;0.58;0.59;7.1;11.2;5;10;0.82;0.7;MTR;PUMP;NORMAL, Masih dimonitoring;;Ganti bearing motor, periksa internal part motor
011P106A;FOC II A;09/24/2020;09/23/2020;1.33;0.55;1.25;2.32;1.33;1.75;0.76;1.87;1.5;1.72;0.82;1.03;1.33;0.65;7.1;11.2;5;10;1.75;2.32;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, balancing rotor motor, realignment motor terhadap pompa
011P106B;FOC II A;08/27/2020;09/23/2020;0.26;0.92;1.30;0.55;1.78;2.16;0.98;0.02;1.22;2.85;2.04;2.41;2.69;1.60;7.1;11.2;5;10;2.85;2.04;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oil pada kesempatan pertama, periksa clearence bearing pompa, periksa axial end play shaft pompa, periksa internal part pompa
011P106C;FOC II A;09/24/2020;09/23/2020;0.95;1.19;2.26;1;1.54;2.01;0.99;0.67;1.06;0.87;0.21;0.73;0.56;0.67;7.1;11.2;5;10;2.26;1;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P107A;FOC II A;07/15/2020;09/23/2020;0.40;0.29;0.43;0.36;0.64;0.37;0.55;0.64;1.47;1.12;0.25;0.95;0.91;0.65;4.5;7.1;5;10;1.47;0.64;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P107B;FOC II A;09/24/2020;09/23/2020;0.12;0.57;0.58;0.28;0.74;0.21;0.44;1.85;1.23;1.2;0.4;0.85;0.88;0.63;4.5;7.1;5;10;1.23;1.85;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oil pada kesempatan pertama, periksa clearence bearing pompa, periksa axial end play dan radial lifting shaft pompa, periksa internal part pompa
011P107C;FOC II A;09/24/2020;09/23/2020;0.14;0.41;0.49;0.1;0.65;0.54;0.32;0.37;1.47;1.16;0.38;2.48;1.62;1.31;4.5;7.1;5;10;2.48;0.38;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P108A;FOC II A;09/24/2020;09/23/2020;1.38;4.8;3.4;2.15;4.08;2.31;4.28;0.57;0.96;1.04;0.49;0.81;0.77;0.79;7.1;11.2;5;10;4.8;2.15;MTR;PUMP;NORMAL, Masih dimonitoring;;Ganti bearing motor, periksa internal part motor
011P108B;FOC II A;07/15/2020;09/23/2020;0.52;0.32;0.46;0.10;0.47;0.45;0.25;0.23;0.41;0.86;0.31;1.15;0.83;1.17;7.1;11.2;5;10;1.17;0.52;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P109A;FOC II A;08/27/2020;09/23/2020;0.31;0.50;1.15;0.64;0.86;1.18;0.46;4.13;2.22;5.59;0.05;2.22;2.03;1.62;7.1;11.2;5;10;5.59;4.13;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, realignment motor terhadap pompa
011P109B;FOC II A;09/24/2020;09/23/2020;0.17;1.23;1.32;0.75;1.88;1.48;1.48;2.4;1.03;3.68;1.79;0.9;1.29;1.02;7.1;11.2;5;10;3.68;2.4;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling pada kesempatan pertama, realignment motor terhadap pompa
011P110A;FOC II A;09/24/2020;09/23/2020;0.11;0.34;1.02;0.36;0.53;0.89;0.36;0.31;2.24;1.4;0.97;5.29;5.42;2.47;11.2;18;5;10;5.42;0.97;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P110B;FOC II A;09/24/2020;09/23/2020;0.23;0.73;1.07;0.16;1;1.13;0.55;0.41;4.11;3.32;1.01;6.34;2.96;2.62;11.2;18;5;10;6.34;1.01;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P110C;FOC II A;09/16/2020;09/23/2020;0.33;1.22;1.35;0.31;1.03;1.12;1.59;0.70;5.56;5.75;0.44;4.05;5.59;1.52;11.2;18;5;10;5.75;0.7;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P111A;FOC II A;09/24/2020;09/23/2020;0.58;0.63;0.96;0.19;0.65;0.7;0.34;0.67;0.46;0.44;0.8;0.31;0.42;0.18;7.1;11.2;5;10;0.96;0.8;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P111B;FOC II A;09/16/2020;09/23/2020;0.60;0.92;0.55;0.73;0.76;0.57;0.64;0.27;0.66;0.85;0.43;0.67;0.69;0.60;7.1;11.2;5;10;0.92;0.73;MTR;PUMP;NORMAL, Masih dimonitoring;;Ganti bearing motor, periksa internal part motor
011P112A;FOC II A;07/29/2020;09/23/2020;0.08;0.64;3.15;0.25;1.83;3.70;1.04;0.56;2.88;3.75;1.14;2.68;3.36;1.68;7.1;11.2;5;10;3.75;1.14;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P112B;FOC II A;09/24/2020;09/23/2020;0.16;0.56;1.87;0.26;0.61;1.02;0.68;1.79;3.12;4.31;3.35;2.95;3.63;2.02;7.1;11.2;5;10;4.31;3.35;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pompa pada kesempatan pertama, periksa clearence bearing pompa, periksa axial end play shaft pompa, periksa internal part pompa
011P113A;FOC II A;09/24/2020;09/23/2020;0.1;0.31;0.49;0.23;0.68;0.58;0.43;0.24;1.36;3.26;0.37;1.82;2.38;0.87;7.1;11.2;5;10;3.26;0.37;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling pada kesempatan pertama, balancing rotor pompa
011P113B;FOC II A;09/24/2020;09/23/2020;0.06;0.14;0.34;0.1;0.43;0.43;0.32;0.59;1.5;2.24;0.44;1.14;1.89;1.05;7.1;11.2;5;10;2.24;0.59;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oil pompa pada kesempatan pertama, periksa clearence bearing pompa, periksa axial end play shaft pompa, periksa internal part pompa
011P113C;FOC II A;09/03/2020;09/23/2020;0.12;0.58;1.93;0.18;1.45;2.03;1.02;1.01;5.53;7.25;0.33;2.17;5.86;1.68;7.1;11.2;5;10;7.25;1.01;MTR;PUMP;ALERT, Indikasi mechanical looseness pada pompa;MECH. LOOSE;Periksa clearence bearing pompa, periksa axial end play shaft pompa, periksa internal part pompa
011P114A;FOC II A;09/24/2020;09/23/2020;1.31;1.39;3.7;3.43;2.5;3.3;2.59;0.76;0.92;1.35;0.71;0.84;0.94;0.55;4.5;7.1;5;10;3.7;3.43;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P114B;FOC II A;09/02/2020;09/23/2020;1.46;0.94;2.56;2.01;0.76;2.24;0.76;0.57;1.75;5.06;0.64;2.66;2.83;1.56;4.5;7.1;5;10;5.06;2.01;MTR;PUMP;ALERT, Indikasi mechanical looseness pada pompa;MECH. LOOSE;Periksa kondisi lube oil pada kesempatan pertama, periksa clearence bearing pompa, periksa axial end play shaft pompa, periksa internal part pompa
011P115A;FOC II A;09/02/2020;09/23/2020;2.08;1.81;1.62;1.77;2.25;1.64;2.10;1.52;0.89;2.45;0.69;0.75;0.93;0.78;7.1;11.2;5;10;2.45;2.08;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P115B;FOC II A;09/24/2020;09/23/2020;4.45;3.03;1.82;1.51;1.92;1.9;2.37;0.46;1.21;1.97;0.35;0.88;0.7;0.52;7.1;11.2;5;10;3.03;4.45;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P116A;FOC II A;06/25/2020;09/23/2020;0.46;0.25;0.36;0.69;0.32;0.54;0.41;1.50;0.44;0.64;1.69;0.43;0.39;0.35;2.82;4.5;5;10;0.64;1.69;MTR;PUMP;NORMAL, Masih dimonitoring;;Regreasing bearing motor pada kesempatan pertama, periksa clearence bearing motor, periksa internal part motor
011P116B;FOC II A;09/24/2020;09/23/2020;0.29;0.26;0.68;0.92;0.33;0.51;0.45;1.63;0.3;0.55;0.84;0.37;0.35;0.47;2.82;4.5;5;10;0.68;1.63;MTR;PUMP;NORMAL, Masih dimonitoring;;Regreasing bearing motor pada kesempatan pertama, ganti bearing motor, periksa internal part motor
011P117A;FOC II A;05/14/2020;09/23/2020;0.19;0.63;1.81;1.03;1.91;1.64;1.20;2.88;1.54;6.77;2.53;1.93;2.45;1.52;7.1;11.2;5;10;6.77;2.88;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling pada kesempatan pertama, realignment motor terhadap pompa
011P117B;FOC II A;09/24/2020;09/23/2020;0.73;1.49;1.76;0.51;1.22;1.95;0.66;1.83;1.99;5.74;1.4;2.04;1.9;1.51;7.1;11.2;5;10;5.74;1.83;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, realignment motor terhadap pompa
011P118A;FOC II A;09/24/2020;09/23/2020;0.54;0.9;0.94;0.82;1.12;0.96;0.72;0.66;0.66;2.48;0.26;0.63;1.11;1.34;2.82;4.5;5;10;2.48;0.82;MTR;PUMP;NORMAL, Masih dimonitoring;;Perikas kondisi coupling pada kesempatan pertama, periksa internal part pompa, balancing rotor pompa
011P118B;FOC II A;09/24/2020;09/23/2020;0.39;0.76;1.51;0.52;0.64;1.51;1.23;0.68;0.55;0.97;0.47;0.39;0.43;0.45;2.82;4.5;5;10;1.51;0.68;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, realignment motor terhadap pompa
011P118C;FOC II A;08/05/2020;09/23/2020;1.53;0.57;0.97;0.89;0.58;1.18;0.49;1.08;1.46;5.12;0.98;2.35;2.33;2.57;2.82;4.5;5;10;5.12;1.53;MTR;PUMP;DANGER, Indikasi misalignment;MISALIGNMENT;Periksa kondisi coupling, realignment turbine terhadap pompa
011P119A;FOC II A;09/24/2020;09/23/2020;0.19;0.64;1.47;0.17;0.73;0.94;0.58;0.81;3.58;3.65;2.01;3.21;4.17;3.07;7.1;11.2;5;10;4.17;2.01;MTR;PUMP;NORMAL, Masih dimonitoring;;
011P119B;FOC II A;09/09/2020;09/23/2020;0.02;0.12;0.27;0.03;0.22;0.24;0.19;0.17;0.94;0.92;0.16;1.11;1.00;0.64;7.1;11.2;5;10;1.11;0.17;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pompa pada kesempatan pertama, periksa clearence bearing pompa, periksa axial end play shaft pompa, periksa internal part pompa
011P120A;FOC II A;07/15/2020;09/23/2020;0.41;0.54;0.45;0.62;0.87;0.79;0.43;0.58;0.94;2.65;0.77;1.23;0.91;0.90;4.5;7.1;5;10;2.65;0.77;MTR;PUMP;NORMAL, Masih dimonitoring;;Ganti bearing motor, periksa internal part motor
011P120B;FOC II A;09/24/2020;09/23/2020;0.8;0.81;0.56;0.73;0.8;0.71;0.74;0.7;2.64;2.07;0.44;1.6;0.73;0.56;4.5;7.1;5;10;2.64;0.8;MTR;PUMP;NORMAL, Masih dimonitoring;;Solo run motor pada kesempatan pertama, periksa kondisi rotor motor, magnetic center dan ganti bearing motor
011P121A (SYDN);FOC II A;09/24/2020;09/23/2020;0.37;2.37;2.39;1.16;3.35;3.19;2.02;1.5;2.87;3.13;3.77;3.04;2.86;1.72;7.1;11.2;5;10;3.35;3.77;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P121B (SYDN);FOC II A;05/20/2020;09/23/2020;0.51;2.46;2.37;1.00;2.75;2.70;1.39;3.20;1.98;2.68;4.15;2.72;3.33;1.59;7.1;11.2;5;10;3.33;4.15;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pada kesempatan pertama, periksa kondisi internal part gearbox
011P122A;FOC II A;09/24/2020;09/23/2020;0.07;0.58;0.89;0.23;0.77;1.41;0.81;1.32;4.32;4.1;1.5;2.69;2.09;0.97;7.1;11.2;5;10;4.32;1.5;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, realignment motor terhadap pompa
011P122B;FOC II A;07/29/2020;09/23/2020;0.14;0.37;0.77;0.40;0.58;1.17;0.70;1.98;2.33;3.14;1.64;3.62;2.73;3.22;7.1;11.2;5;10;3.62;1.98;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pompa pada kesempatan pertama, periksa internal part pompa
011P123A;FOC II A;09/24/2020;09/23/2020;0.24;0.56;0.8;0.34;1;1.75;0.62;0.48;1.66;1.67;1.09;1.45;2.1;1.72;7.1;11.2;5;10;2.1;1.09;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
011P123B;FOC II A;04/15/2020;09/23/2020;0.30;0.31;1.11;0.26;0.88;1.56;0.72;1.12;6.98;9.35;3.65;4.70;11.62;3.37;7.1;11.2;5;10;11.62;3.65;MTR;PUMP;DANGER, Indikasi unbalance pada pompa;UNBALANCE;Perikas kondisi coupling pada kesempatan pertama, periksa internal part pompa, balancing rotor pompa
011P129A;FOC II A;;09/23/2020;;;;;;;;;;;;;;;2.82;4.5;5;10;;;MTR;PUMP;;;
011P129B;FOC II A;;09/23/2020;;;;;;;;;;;;;;;2.82;4.5;5;10;;;MTR;PUMP;;;
011P130A;FOC II A;;09/23/2020;;;;;;;;;;;;;;;2.82;4.5;5;10;;;MTR;PUMP;;;
011P130B;FOC II A;07/04/2017;09/23/2020;1.16;1.25;1.49;1.55;2.25;1.79;1.51;0.35;0.69;0.69;0.37;0.71;0.70;0.37;2.82;4.5;5;10;2.25;1.55;MTR;PUMP;NORMAL, Masih dimonitoring;;
012K101A;FOC II B;09/16/2020;09/23/2020;0.17;0.52;0.68;0.30;0.56;0.67;0.48;;;;;;;;7.1;11.2;5;10;0.68;0.3;MTR;COMP;NORMAL, Masih dimonitoring;;
012K101B;FOC II B;09/24/2020;09/23/2020;0.17;0.64;0.56;0.31;0.55;0.89;0.62;;;;;;;;7.1;11.2;5;10;0.89;0.31;MTR;COMP;NORMAL, Masih dimonitoring;;
012P101A;FOC II B;09/24/2020;09/23/2020;0.26;0.63;1.63;0.37;0.71;1.44;0.84;0.19;0.76;0.57;0.44;1.17;1.05;3.54;7.1;11.2;5;10;3.54;0.44;MTR;PUMP;NORMAL, Masih dimonitoring;;
012P101B;FOC II B;09/10/2020;09/23/2020;0.19;0.61;1.78;0.68;1.08;1.78;0.49;0.35;0.57;0.62;0.91;1.01;0.85;1.38;7.1;11.2;5;10;1.78;0.91;MTR;PUMP;NORMAL, Masih dimonitoring;;
012P103A;FOC II B;08/27/2020;09/23/2020;0.17;0.58;2.93;0.31;2.19;3.40;0.88;0.44;2.23;2.53;0.45;2.44;2.79;3.03;7.1;11.2;5;10;3.4;0.45;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
012P103B;FOC II B;09/24/2020;09/23/2020;0.31;0.53;1.7;0.19;1.43;2.45;1.9;0.51;2.25;2.49;0.48;2.24;2.33;1.39;7.1;11.2;5;10;2.49;0.51;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
012P104A;FOC II B;07/02/2020;09/23/2020;3.36;1.41;2.92;7.83;5.09;4.08;3.03;0.64;0.90;1.50;0.41;0.88;0.63;0.42;4.5;7.1;5;10;5.09;7.83;MTR;PUMP;ALERT, Indikasi bearing motor defect;BEARING DEFECT;Ganti bearing motor, periksa internal part motor
012P104B;FOC II B;09/24/2020;09/23/2020;0.82;1.04;2.18;1.56;1.79;1.94;1.01;0.46;1.73;2.47;1.35;2.83;1.88;2.26;4.5;7.1;5;10;2.83;1.56;MTR;PUMP;NORMAL, Masih dimonitoring;;Regresaing bearing motor pada kesempatan pertama, periksa clearance bearing motor, periksa axial end play shaft motor, periksa internal part motor
012P102 M (SYDN);FOC II B;09/24/2020;09/23/2020;0.53;0.64;0.57;0.47;0.49;0.63;0.64;0.09;1.08;0.51;0.66;0.85;0.8;0.67;4.5;7.1;10;15;1.08;0.66;MTR;sydn;NORMAL, Masih dimonitoring;;
012P105;FOC II B;11/07/2019;09/23/2020;0.04;0.16;0.18;0.03;0.07;0.10;0.13;0.02;0.07;0.09;0.02;0.09;0.16;0.10;2.82;4.5;5;10;0.18;0.04;MTR;PUMP;NORMAL, Masih dimonitoring;;
013K101A;FOC II B;08/19/2020;09/23/2020;0.39;0.44;0.59;0.17;0.43;0.61;0.49;;;;;;;;11.2;18;5;10;0.61;0.39;MTR;PUMP;NORMAL, Masih dimonitoring;;
013K101B;FOC II B;09/24/2020;09/23/2020;0.41;0.37;0.41;0.32;0.51;0.5;0.39;;;;;;;;11.2;18;5;10;0.51;0.41;MTR;PUMP;NORMAL, Masih dimonitoring;;
013P101A;FOC II B;09/24/2020;09/23/2020;0.57;3.29;4.02;0.68;2.77;3.72;1.54;0.58;1.24;1.59;2.33;1.45;1.31;2.35;11.2;18;5;10;4.02;2.33;MTR;PUMP;NORMAL, Masih dimonitoring;;
013P101B;FOC II B;09/10/2020;09/23/2020;0.16;1.24;1.33;0.15;0.56;1.24;0.81;0.39;0.73;0.97;1.00;0.77;1.11;0.80;11.2;18;5;10;1.33;1;MTR;PUMP;NORMAL, Masih dimonitoring;;
013P102A (SYDN);FOC II B;09/24/2020;09/23/2020;0.53;0.5;0.5;0.71;0.93;1.68;0.78;1.26;1.17;1.58;0.75;2.05;2.64;1.25;4.5;7.1;10;15;2.64;1.26;MTR;sydn;NORMAL, Masih dimonitoring;;
013P102B (SYDN);FOC II B;08/19/2020;09/23/2020;0.52;0.73;1.26;0.65;0.82;1.64;0.68;0.81;0.57;0.92;0.37;1.05;1.44;0.81;4.5;7.1;10;15;1.64;0.81;MTR;sydn;NORMAL, Masih dimonitoring;;
013P103A;FOC II B;09/24/2020;09/23/2020;1.19;1.17;1.49;1.83;1.56;1.5;1.47;0.35;1.16;2.63;0.58;0.98;1.03;0.65;2.82;4.5;5;10;2.63;1.83;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, realignment motor terhadap pompa
013P103B;FOC II B;08/27/2020;09/23/2020;2.50;2.86;4.17;3.39;1.47;1.89;1.22;1.24;0.37;0.76;1.17;0.31;0.41;0.32;2.82;4.5;5;10;4.17;3.39;MTR;PUMP;ALERT, Indikasi bearing motor defect;BEARING DEFECT;Regreasing bearing motor pada kesempatan pertama, ganti bearing motor, periksa internal part motor
013P104A;FOC II B;06/19/2020;09/23/2020;0.53;0.75;2.93;0.54;3.60;4.11;0.82;0.78;2.74;3.20;0.79;2.56;2.17;1.95;7.1;11.2;5;10;4.11;0.79;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, realignment motor terhadap pompa
013P104B;FOC II B;09/24/2020;09/23/2020;0.35;0.97;3;0.39;2.85;4.11;0.9;0.71;2.41;3.77;0.82;2.33;2.81;2.2;7.1;11.2;5;10;4.11;0.82;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
013P105;FOC II B;09/24/2020;09/23/2020;0.06;0.34;0.15;0.02;0.11;0.07;0.12;0.02;0.08;0.1;0.02;0.09;0.21;0.13;2.82;4.5;5;10;0.34;0.06;MTR;PUMP;NORMAL, Masih dimonitoring;;
013P108A;FOC II B;09/24/2020;09/23/2020;0.47;0.57;1.61;0.4;0.96;1.24;0.58;1.11;1.4;3.37;0.84;1.34;1.85;1.02;4.5;7.1;5;10;3.37;1.11;MTR;PUMP;NORMAL, Masih dimonitoring;;Regreasing bearing motor pada kesempatan pertama, ganti bearing motor, periksa internal part motor
013P108B;FOC II B;09/16/2020;09/23/2020;1.20;1.77;2.94;2.41;2.37;3.03;1.95;1.14;1.50;2.98;1.14;1.81;1.58;1.23;4.5;7.1;5;10;3.03;2.41;MTR;PUMP;NORMAL, Masih dimonitoring;;Ganti bearing motor, periksa internal part motor
014K101 -T;FOC II B;06/11/2020;09/23/2020;0.51;0.41;0.30;0.56;0.40;0.58;0.31;0.11;0.11;0.17;0.11;0.10;0.16;0.16;7.1;11.2;10;15;0.58;0.56;TRB;COMP;NORMAL, Masih dimonitoring;;
014K101P1A -T;FOC II B;09/24/2020;09/23/2020;0.8;0.28;0.16;0.8;0.15;0.23;0.21;0.38;0.16;0.39;0.76;0.23;0.28;0.32;4.5;7.1;10;15;0.39;0.8;TRB;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi pelumasan pada kesempatan pertama, periksa clearance bearing pompa, periksa axial end play dan radial lifting shaft pompa
014K102A;FOC II B;09/24/2020;09/23/2020;0.04;0.34;2.19;0.07;0.74;1.89;0.61;;;;;;;;11.2;18;5;10;2.19;0.07;MTR;COMP;NORMAL, Masih dimonitoring;;
014K102A-P1;FOC II B;08/29/2017;09/23/2020;0.05;0.69;1.15;0.07;0.64;1.44;0.47;0.10;0.33;1.68;0.10;0.27;1.37;0.69;2.82;4.5;5;10;1.68;0.1;MTR;PUMP;NORMAL, Masih dimonitoring;;
014K102B;FOC II B;09/16/2020;09/23/2020;0.04;0.37;1.87;0.06;0.98;1.35;0.74;;;;;;;;11.2;18;5;10;1.87;0.06;MTR;COMP;NORMAL, Masih dimonitoring;;
014K102B-P1;FOC II B;06/13/2019;09/23/2020;0.06;1.13;1.14;0.06;1.10;1.13;2.36;0.11;0.45;2.04;0.10;0.39;2.02;0.82;2.82;4.5;5;10;2.36;0.11;MTR;PUMP;NORMAL, Masih dimonitoring;;
014K102C;FOC II B;09/24/2020;09/23/2020;0.13;1.33;2.53;0.05;0.83;1.57;0.49;;;;;;;;11.2;18;5;10;2.53;0.13;MTR;COMP;NORMAL, Masih dimonitoring;;
014K102C-P1;FOC II B;08/22/2017;09/23/2020;0.90;1.02;1.71;1.76;1.14;1.25;0.90;1.59;1.28;1.08;1.28;0.96;0.70;0.79;2.82;4.5;5;10;1.71;1.76;MTR;PUMP;NORMAL, Masih dimonitoring;;
014K102P3A;FOC II B;09/24/2020;09/23/2020;3.07;2.1;1.49;5.78;2.45;1.68;1.74;2.09;1.06;1.28;1.05;0.97;0.85;0.73;2.82;4.5;5;10;2.45;5.78;MTR;PUMP;ALERT, Indikasi bearing motor defect;BEARING DEFECT;Regreasing bearing motor pada kesempatan pertama, ganti bearing motor, periksa internal part motor
014K102P3B;FOC II B;05/20/2020;09/23/2020;0.78;0.68;2.13;0.67;0.59;1.61;0.80;1.33;0.72;0.81;1.06;0.63;0.78;0.60;2.82;4.5;5;10;2.13;1.33;MTR;PUMP;NORMAL, Masih dimonitoring;;Ganti bearing motor, periksa internal part motor
014K103;FOC II B;09/24/2020;09/23/2020;0.75;1.44;2.04;0.76;1.34;1.81;2.3;0.16;1.2;1.77;0.16;1.33;2.62;0.9;4.5;7.1;5;10;2.62;0.76;MTR;BLW;NORMAL, Masih dimonitoring;;
014K104;FOC II B;09/24/2020;09/23/2020;0.42;0.93;1.75;0.33;1.23;1.51;1.18;0.13;0.84;1.56;0.12;0.87;1.17;0.8;4.5;7.1;5;10;1.75;0.42;MTR;BLW;NORMAL, Masih dimonitoring;;Periksa kondisi coupling pada kesempatan pertama, balancing rotor blower
014K105;FOC II B;10/11/2017;09/23/2020;0.15;0.75;2.10;0.19;1.11;2.49;1.16;0.80;0.99;2.20;0.93;0.66;1.87;1.48;2.82;4.5;5;10;2.49;0.93;MTR;BLW;NORMAL, Masih dimonitoring;;
014P101A;FOC II B;07/30/2020;09/23/2020;0.50;1.99;3.40;0.56;2.46;3.88;1.50;0.98;1.57;1.63;0.45;1.38;1.84;1.90;11.2;18;5;10;3.88;0.98;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pompa pada kesempatan pertama, periksa internal part pompa
